DHT,seqid
22.9965,0
31.068,1
28.3237,2
30.1887,3
32.3529,4
31.202,5
42.515,6
28.7425,7
16.8675,8
41.129,9
29.2254,10
34.4828,11
24.0209,12
31.1024,13
28.0255,14
17.2414,15
21.8824,16
24.6575,17
23.2843,18
26.2295,19
28.8,20
39.5833,21
18.6296,22
42.3729,23
27.758,24
32.4427,25
34.4411,26
25.9259,27
31.5589,28
28.5156,29
33.3333,30
16.8081,31
21.7391,32
18.2857,33
41.0112,34
30.6202,35
25.4335,36
24.2063,37
44,38
33.2685,39
26.6409,40
44.6602,41
43.5185,42
31.4286,43
34.4411,44
32.8767,45
36.3636,46
36.1165,47
31.6993,48
30.9568,49
29.2683,50
26.9231,51
30.0995,52
32.6389,53
31.0714,54
26.2745,55
25.3846,56
27.8409,57
32.6667,58
38.9706,59
30.7692,60
20.0472,61
31.0559,62
28.7129,63
33.8889,64
25.7928,65
35.4497,66
22.9226,67
26.8482,68
29.4811,69
32.0312,70
24.6667,71
35.7414,72
28.4123,73
24.5283,74
35,75
27.2472,76
37.5839,77
19.863,78
23.4987,79
26.2745,80
23.3032,81
38.0531,82
28,83
28.75,84
25.8065,85
30.0847,86
25.2941,87
22.623,88
32.9843,89
33.209,90
25.2632,91
33.8912,92
38.2653,93
28.3906,94
26.729,95
18.6047,96
33.5025,97
30.0699,98
37.5,99
23.6364,100
21.3904,101
26.5734,102
42.9735,103
22.2222,104
37.7005,105
24.8,106
42.5837,107
36.9492,108
13.7931,109
30.9524,110
36.6972,111
35.4839,112
29.5455,113
28.6738,114
34.9246,115
16.442,116
18.8976,117
34.8315,118
25.5102,119
33.1343,120
47.0588,121
23.4375,122
18.8811,123
26.6667,124
27.8311,125
30.4348,126
25,127
25.5061,128
26.6958,129
24.9395,130
23.7762,131
29.3103,132
35.1562,133
18.8,134
30.9804,135
29.7619,136
20.2899,137
29.6108,138
29.7959,139
27.0588,140
21.8504,141
31.9398,142
30.5455,143
20.7977,144
30.9148,145
34.9776,146
27.5862,147
20.4322,148
38.1679,149
28.0851,150
29.4479,151
23.5602,152
33.0435,153
33.9552,154
25.9912,155
34.4538,156
30.6931,157
31.25,158
28.8509,159
15.6028,160
25.7028,161
34.6975,162
26.5537,163
27.4306,164
35.3147,165
34.0376,166
26.5306,167
29.0749,168
19.4286,169
26.3862,170
30.4795,171
38.2075,172
20.5438,173
24.0137,174
31.0843,175
40.6475,176
23.6735,177
23.9766,178
29.9107,179
39.4309,180
31.5609,181
41.1504,182
31.401,183
25,184
28.5714,185
22.3058,186
30.4825,187
38,188
32.8358,189
29.0155,190
48.6486,191
19.8718,192
35.3191,193
30.4569,194
26.3682,195
25.7996,196
40.9091,197
24.8927,198
29.0909,199
31.0811,200
21.2465,201
32.5,202
27.2989,203
23.1537,204
31.5789,205
21.7626,206
37.5,207
31.9712,208
30.6358,209
43.1472,210
23.0769,211
40.7895,212
31.4286,213
33.1593,214
18.9024,215
26.7267,216
27.451,217
25.8727,218
31.25,219
31.3646,220
39.7436,221
29.368,222
30.9392,223
31.746,224
23.6111,225
35.3333,226
32.6087,227
28.5012,228
24.1192,229
33.1429,230
35.6322,231
22.49,232
39.1304,233
22.9376,234
25.6338,235
33.4405,236
25.1732,237
30.2198,238
25.1244,239
28.0075,240
28.7212,241
25.9912,242
39.0957,243
40,244
30.1402,245
40.2985,246
29.274,247
30.897,248
23.4201,249
27.3764,250
32.8173,251
22.2222,252
20.7921,253
34.3284,254
20.8791,255
35.9408,256
29.4574,257
30.75,258
27.3973,259
30.9375,260
34.949,261
36.5188,262
23.7226,263
37.8151,264
27.1186,265
28.5266,266
31.8519,267
22.2222,268
28.0899,269
25.187,270
33.8308,271
32.3899,272
33.8192,273
32.4528,274
22.9412,275
23.6364,276
26.3889,277
31.5068,278
32.2105,279
32.2034,280
18.7311,281
28.3544,282
25.5952,283
35.7542,284
38.5593,285
33.9882,286
27.6596,287
37.0968,288
38.2199,289
31.6425,290
32.1951,291
31.8533,292
19.8511,293
23.2019,294
32.1739,295
34.1935,296
34.1538,297
27.0548,298
22.4824,299
28.5714,300
28.0769,301
37.1287,302
29.3839,303
16.4557,304
19.1542,305
32.1799,306
39.8058,307
41.2766,308
38.7417,309
37.8378,310
26.8293,311
19.382,312
27.7512,313
30.4217,314
31.6498,315
20.2279,316
34.8066,317
34.4482,318
27.5304,319
35.514,320
28.5036,321
27.0833,322
29.2453,323
25.1082,324
13.2616,325
33.4862,326
24.2833,327
41.0714,328
25.5051,329
30.7888,330
29.1581,331
21.6561,332
30.3704,333
32.0339,334
35.8333,335
33.6,336
29.2754,337
21.3592,338
37.5,339
32.6599,340
22.7799,341
30.719,342
22.3752,343
33.5329,344
32.8261,345
27.2277,346
33.3333,347
13.0909,348
27.0492,349
15.3595,350
32.4478,351
29.0323,352
39.3939,353
22.8916,354
29.3103,355
41.0112,356
33.9286,357
33.7037,358
37.2549,359
26.6272,360
18.1058,361
24.5243,362
36.6667,363
30.2703,364
38.4106,365
28.3401,366
32.3699,367
24.9389,368
32.2222,369
39.5973,370
23.6025,371
35.545,372
23.3422,373
40.9692,374
35.2941,375
29.7753,376
33.8983,377
27.4545,378
31.7829,379
24.0093,380
29.0676,381
29.3103,382
26.1765,383
32.1637,384
30.7927,385
27.5316,386
33.1984,387
35.3333,388
25.3401,389
32.8652,390
25.2427,391
34.2932,392
24.5946,393
30.7692,394
30.0654,395
27.6471,396
31.4894,397
30,398
32.4607,399
31.4371,400
27.0358,401
34.5083,402
23.6111,403
31.4672,404
29.0323,405
34.8135,406
33.3333,407
25.9615,408
42.1569,409
30.6667,410
33.6585,411
25.4237,412
40.1869,413
30.6288,414
21.1329,415
20.8333,416
37.037,417
31.2139,418
25.4958,419
28.0374,420
33.5092,421
27.5132,422
37.2881,423
36.1111,424
33.4211,425
30.6849,426
27.7008,427
22.7027,428
24.4361,429
35.7798,430
32.9193,431
24.5473,432
39.2739,433
28.3582,434
53.202,435
29.7244,436
33.5548,437
36.478,438
27.1357,439
31.9865,440
27.3973,441
29.368,442
31.9343,443
31.9809,444
31.4991,445
27.0742,446
31.2253,447
27.3707,448
36.3144,449
34.6154,450
26.4484,451
33.1984,452
36.5155,453
15.3119,454
23.3871,455
25.7703,456
30.648,457
32.8859,458
33.4975,459
31.6514,460
27.3585,461
29.3893,462
29.6296,463
18.9024,464
29.6089,465
23.7805,466
40.2439,467
30.5556,468
24.1722,469
31.2329,470
23.1959,471
25,472
25.8621,473
34.6154,474
31.982,475
23.6742,476
28.8462,477
26.1084,478
18.8917,479
24.8538,480
28.6486,481
24.8503,482
32.3326,483
28.9941,484
29.8643,485
37.4656,486
30.7359,487
34.7418,488
20.9169,489
24.4576,490
17.6849,491
49.5726,492
37.1429,493
29.7619,494
33.3333,495
32.7434,496
34.2857,497
34.2105,498
24.812,499
29.4017,500
29.3051,501
28.3019,502
12.8814,503
29.5019,504
28.9091,505
32.2148,506
26.2774,507
42.4051,508
23.127,509
29.9465,510
33.1081,511
26.6082,512
31.2039,513
20.5805,514
41.6667,515
22.0588,516
33.8279,517
21.9697,518
34.4891,519
45.4054,520
30.303,521
30.7018,522
22.9391,523
28.4722,524
22.1902,525
32.4074,526
22.9299,527
23.913,528
27.957,529
35.0679,530
40.1639,531
30.719,532
34.8624,533
15.6313,534
29.0503,535
25,536
36.3636,537
20.9184,538
29.2208,539
30.9904,540
10.2719,541
33.7423,542
23.1511,543
33.6347,544
11.9048,545
17.8571,546
32.6203,547
25.9067,548
31.3043,549
24.3137,550
29.3233,551
44.5455,552
22.5989,553
37.0588,554
25.5319,555
33.7313,556
28.0899,557
25,558
42,559
24.3182,560
25.3012,561
36.4008,562
18.705,563
36.2832,564
40.2439,565
34.375,566
28.6822,567
26.6958,568
22.4344,569
35.4167,570
34.2412,571
32.715,572
35.443,573
34.5622,574
27.9412,575
22.9399,576
27.896,577
45.657,578
38.9744,579
41.8994,580
38.9706,581
20.5128,582
20.5634,583
33.6957,584
26.9006,585
30.9434,586
19.8413,587
32.8918,588
31.0044,589
30.0885,590
32.5758,591
29.0727,592
35.4098,593
24.5675,594
25.1412,595
26.5774,596
33.9658,597
34.6512,598
35.2113,599
30.7377,600
31.6176,601
27.6364,602
24.5714,603
17.1053,604
25,605
40,606
35.3952,607
28.1369,608
31.25,609
24.8428,610
28.6232,611
30.411,612
34.7305,613
30.2326,614
23.4694,615
37.2414,616
40.3226,617
36.3934,618
31.0526,619
30.695,620
35.396,621
34.5538,622
30.4762,623
32.7586,624
43.6975,625
23.7838,626
22.8164,627
31.9549,628
28.1646,629
33.9286,630
41.8719,631
31.856,632
35.6164,633
43.617,634
32.4324,635
27.4194,636
32.2835,637
29.5285,638
27.0758,639
21.0953,640
31.3625,641
28.8732,642
32.4074,643
38.2872,644
15.407,645
23.8281,646
39.4584,647
26.8293,648
32.6667,649
36.2637,650
25.8964,651
36.5079,652
24.6445,653
41.0628,654
31.3351,655
22.4742,656
30.9417,657
39.895,658
21.1594,659
17.9272,660
33.612,661
35.5091,662
31.746,663
32.0628,664
31.6547,665
35.0719,666
24.7387,667
12.7451,668
30.3571,669
17.0732,670
39.4077,671
36.7725,672
23.6577,673
43.662,674
45.1777,675
21.7105,676
39.0411,677
24.1722,678
24.8649,679
35.9322,680
45.7031,681
34.9515,682
28.2297,683
33,684
30.4762,685
42.5,686
22.7092,687
27.7439,688
35.6,689
31.7757,690
40.367,691
25.188,692
26.3274,693
34.0952,694
30.1802,695
20.598,696
36.9128,697
26.1986,698
25.6,699
37.7049,700
24.7887,701
28.1768,702
33.5,703
22.7273,704
18.9394,705
27.8947,706
23.9011,707
31.3305,708
25.3846,709
35.6436,710
29.3103,711
27.6119,712
35.503,713
38.7363,714
20.434,715
35.3403,716
30.2521,717
28.8515,718
33.5714,719
29.3617,720
27.8237,721
34.3013,722
30,723
28.5047,724
39.0558,725
27.0085,726
28.7526,727
25.625,728
23.3141,729
31.9672,730
32.7381,731
17.1717,732
32.852,733
35.8543,734
34.8416,735
39.0295,736
40.8163,737
34.8123,738
37.8378,739
24.1245,740
31.1927,741
26.9737,742
23.219,743
18.1818,744
42.2604,745
40.4348,746
38.9513,747
36.6812,748
38.8128,749
34.6555,750
32.4786,751
8.7719,752
33.7143,753
27.027,754
17.5,755
45.8065,756
31.2281,757
35.1852,758
35.5748,759
25.6219,760
29.1925,761
28.6385,762
20.3448,763
27.8146,764
36.9973,765
37.2093,766
40.6639,767
27.0758,768
32.6241,769
20.5505,770
31.8898,771
30.5556,772
33.8809,773
31.2139,774
32.8622,775
30.3523,776
31.8681,777
31.6804,778
38.9706,779
32.1337,780
26.7477,781
34.9558,782
37.6543,783
33.7209,784
31.5789,785
22.49,786
27.993,787
27.8049,788
33.5938,789
33.8078,790
30.5677,791
37.8378,792
36.2963,793
26.6458,794
28.5714,795
38.7255,796
31.2611,797
39.1304,798
29.3617,799
31.2977,800
22.2749,801
21.5031,802
27.4949,803
38.0368,804
27.23,805
24.0909,806
27.1945,807
29.5113,808
32.2222,809
20,810
34.6154,811
25.6966,812
39.6694,813
37.5912,814
32.7778,815
24.024,816
26.7677,817
22.0264,818
29.5455,819
27.0833,820
40.4959,821
36.4116,822
25.9091,823
37.594,824
39.0909,825
41.7526,826
22.5564,827
40.404,828
23.3945,829
24.8062,830
22.9008,831
24.7423,832
21.9697,833
34.4538,834
26.6816,835
