nwname,fname,smile,CHA score,CCA score,mws,logps,hbds,hbas,psas,robs,qeds,chiral_centes,RO5scores,RO5scoresnum
501ak,P156229042.sdf,C([C@H]1[C@@H]([C@H]([C@H]([C@H](O1)OC[C@H]2[C@H]([C@H]([C@H]([C@H](O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O)O)O)O,0.364,0.24,504.4,-7.57,11,16,268.7,8,0.15,14,--++-+,3
502ak,P156228673.sdf,Cc1cc(=O)oc2c1ccc(c2)O[C@H]3[C@@H]([C@@H]([C@@H]([C@H](O3)CO)O[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)CO)O)O)NC(=O)C)O)NC(=O)C,0.364,0.24,582.6,-2.61,7,15,226.5,8,0.16,10,--++-+,3
503ak,P156228672.sdf,Cc1cc(=O)oc2c1ccc(c2)O[C@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)CO)O[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)CO)O)O)NC(=O)C)O)NC(=O)C,0.061,0.23,582.6,-2.61,7,15,226.5,8,0.16,10,--++-+,3
504ak,P156228670.sdf,Cc1cc(=O)oc2c1ccc(c2)O[C@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)CO)O[C@H]4[C@@H]([C@@H]([C@@H]([C@@H](O4)CO)O)O)NC(=O)C)O)NC(=O)C,0.303,0.24,582.6,-2.61,7,15,226.5,8,0.16,10,--++-+,3
505ak,P156228650.sdf,C([C@H]1[C@H]([C@H]([C@H]([C@H](O1)O[C@H]2[C@@H]([C@H](O[C@@]2(CO)O[C@@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O)CO)O)O)O)O)O,0.364,0.24,504.4,-7.57,11,16,268.7,8,0.15,14,--++-+,3
506ak,P156228517.sdf,CCCCCCCCCCO[C@H]1[C@@H]([C@@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,0.364,0.25,482.6,-1.23,7,11,178.5,14,0.15,10,--++++,4
507ak,P156228094.sdf,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)[O-])C(=O)Nc1ccc2c(cc(=O)oc2c1)C(F)(F)F,0.515,0.24,759.7,-1.66,8,18,296.2,19,0.08,4,--++++,4
508ak,P156228083.sdf,CC(=O)N[C@H](CC(=O)O)C(=O)N[C@H](Cc1ccc(cc1)OS(=O)(=O)[O-])C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,0.515,0.22,922.1,-1.18,10,21,337.2,26,0.03,5,--++++,4
509ak,P156228082.sdf,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc1ccc(cc1)OS(=O)(=O)[O-])C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,0.121,0.21,922.1,-1.18,10,21,337.2,26,0.03,5,--++++,4
510ak,P156228081.sdf,CC(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(cc1)OS(=O)(=O)[O-])C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,0.091,0.21,922.1,-1.18,10,21,337.2,26,0.03,5,--++++,4
511ak,P156228080.sdf,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(cc1)OS(=O)(=O)[O-])C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,0.212,0.24,922.1,-1.18,10,21,337.2,26,0.03,5,--++++,4
512ak,P156228070.sdf,CC[C@H](C)[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)[O-])NC(=O)[C@H](Cc3ccc(cc3)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)CNC,0.424,0.24,926.1,-5.06,14,23,359.6,26,0.02,8,--++++,4
513ak,P156228033.sdf,c1ccc(cc1)C[C@@H](C(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](Cc4c[nH]c5c4cccc5)C(=O)[O-])NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](CS)NC(=O)[C@H](Cc6c[nH]cn6)N,0.242,0.24,906.1,-0.51,13,18,299.5,24,0.03,6,--++++,4
514ak,P156228032.sdf,c1ccc(cc1)C[C@@H](C(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](Cc4c[nH]c5c4cccc5)C(=O)[O-])NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](CS)NC(=O)[C@H](Cc6cnc[nH]6)N,0,0.24,906.1,-0.51,13,18,299.5,24,0.03,6,--++++,4
515ak,P156228031.sdf,c1ccc(cc1)C[C@@H](C(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](Cc4c[nH]c5c4cccc5)C(=O)[O-])NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](CS)NC(=O)[C@H](Cc6c[nH+]c[nH]6)[NH3+],0.061,0.22,908.1,-1.81,15,18,302.4,24,0.02,6,--++++,4
516ak,P156228030.sdf,c1ccc(cc1)C[C@@H](C(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](Cc4c[nH]c5c4cccc5)C(=O)[O-])NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](CS)NC(=O)[C@H](Cc6c[nH]cn6)[NH3+],0.394,0.24,907.1,-1.23,14,18,301.2,24,0.03,6,--++++,4
517ak,P156227922.sdf,CC(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)[O-])C(=O)Nc1ccc2c(cc(=O)oc2c1)C(F)(F)F,0.061,0.19,758.7,-2.99,7,18,299.1,19,0.08,4,--++++,4
