Activity,AE,W,BE,V,seqid,Length,d
antioxidative,0.0069,0.125,0,0,0,145,1
antioxidative,0.0164,0.1251,0,0,1,244,4
antioxidative,0.0099,0.1083,0,0,2,405,4
antioxidative,0.0049,0.0526,0,0,3,204,1
antioxidative,0,0,0,0,4,112,0
antioxidative,0.0105,0.2079,0,0,5,475,5
antioxidative,0.0112,0.105,0,0,6,178,2
antioxidative,0.0057,0.0826,0,0,7,174,1
antioxidative,0.0044,0.0434,0,0,8,227,1
antioxidative,0.0129,0.1538,0,0,9,155,2
antioxidative,0,0,0,0,10,100,0
antioxidative,0,0,0,0,11,161,0
antioxidative,0.0149,0.177,0,0,12,202,3
antioxidative,0.0041,0.05,0,0,13,488,2
antioxidative,0,0,0,0,14,125,0
antioxidative,0.0161,0.1377,0,0,15,248,4
antioxidative,0.0051,0.0917,0,0,16,198,1
antioxidative,0.0044,0.054,0,0,17,454,2
antioxidative,0.0187,0.3333,0,0,18,107,2
antioxidative,0.0165,0.2674,0,0,19,243,4
antioxidative,0.0372,0.3333,0,0,20,215,8
antioxidative,0.0083,0.1005,0,0,21,242,2
antioxidative,0.013,0.2731,0,0,22,231,3
antioxidative,0.0254,0.2725,0,0,23,118,3
antioxidative,0.0075,0.0665,0,0,24,133,1
antioxidative,0.0136,0.1994,0,0,25,220,3
antioxidative,0.0136,0.2003,0,0,26,221,3
antioxidative,0.013,0.1561,0,0,27,384,5
antioxidative,0.0171,0.1334,0,0,28,117,2
antioxidative,0.0036,0.0831,0,0,29,277,1
antioxidative,0,0,0,0,30,324,0
antioxidative,0.0105,0.0942,0,0,31,287,3
antioxidative,0.0171,0.1334,0,0,32,117,2
antioxidative,0.0143,0.1246,0,0,33,488,7
antioxidative,0.0143,0.1663,0,0,34,349,5
antioxidative,0.0043,0.0492,0,0,35,469,2
antioxidative,0.013,0.1513,0,0,36,384,5
antioxidative,0.0028,0.0307,0,0,37,351,1
antioxidative,0.0137,0.2144,0,0,38,219,3
antioxidative,0,0,0,0,39,115,0
antioxidative,0.0034,0.0366,0,0,40,291,1
antioxidative,0.0078,0.0839,0,0,41,129,1
antioxidative,0.0063,0.0474,0,0,42,158,1
antioxidative,0.0079,0.1206,0,0,43,504,4
antioxidative,0.0254,0.2725,0,0,44,118,3
antioxidative,0.0105,0.0942,0,0,45,287,3
antioxidative,0.0037,0.0387,0,0,46,534,2
antioxidative,0.0047,0.0505,0,0,47,430,2
antioxidative,0.0323,0.3641,0,0,48,124,4
antioxidative,0.0037,0.0387,0,0,49,534,2
antioxidative,0.0044,0.0535,0,0,50,450,2
antioxidative,0.0076,0.236,0,0,51,528,4
antioxidative,0.0085,0.1991,0,0,52,117,1
antioxidative,0.0161,0.1998,0,0,53,186,3
antioxidative,0.0323,0.3641,0,0,54,124,4
antioxidative,0,0,0,0,55,186,0
antioxidative,0.0038,0.0833,0,0,56,263,1
antioxidative,0,0,0,0,57,161,0
antioxidative,0.0047,0.0493,0,0,58,430,2
antioxidative,0.0168,0.1211,0,0,59,238,4
antioxidative,0.0161,0.1377,0,0,60,248,4
antioxidative,0.0063,0.0474,0,0,61,158,1
antioxidative,0.0044,0.0434,0,0,62,227,1
antioxidative,0.0082,0.2,0,0,63,122,1
antioxidative,0,0,0,0,64,100,0
antioxidative,0.0172,0.4279,0,0,65,174,3
antioxidative,0.0055,0.1436,0,0,66,183,1
antioxidative,0.0187,0.3333,0,0,67,107,2
antioxidative,0.0087,0.2225,0,0,68,230,2
antioxidative,0.0136,0.1994,0,0,69,220,3
antioxidative,0.0109,0.2141,0,0,70,275,3
antioxidative,0.0171,0.2995,0,0,71,175,3
antioxidative,0.0161,0.1998,0,0,72,186,3
antioxidative,0.0083,0.1256,0,0,73,242,2
antioxidative,0.0072,0.0621,0,0,74,138,1
antioxidative,0.0057,0.1418,0,0,75,174,1
antioxidative,0.0142,0.2316,0,0,76,212,3
antioxidative,0.0161,0.1998,0,0,77,186,3
antioxidative,0,0,0,0,78,130,0
antioxidative,0.0043,0.0998,0,0,79,232,1
antioxidative,0.0323,0.3641,0,0,80,124,4
antioxidative,0.0084,0.0796,0,0,81,237,2
antioxidative,0.0152,0.2005,0,0,82,198,3
antioxidative,0.0063,0.1008,0,0,83,320,2
antioxidative,0.0062,0.0998,0,0,84,161,1
antioxidative,0.0087,0.2225,0,0,85,230,2
antioxidative,0.0163,0.1874,0,0,86,368,6
antioxidative,0,0,0,0,87,125,0
antioxidative,0.0038,0.0528,0,0,88,264,1
antioxidative,0.0049,0.0912,0,0,89,205,1
antioxidative,0.0165,0.2674,0,0,90,243,4
antioxidative,0.011,0.1532,0,0,91,181,2
antioxidative,0.012,0.1469,0,0,92,502,6
antioxidative,0.0114,0.1812,0,0,93,175,2
antioxidative,0.0136,0.1994,0,0,94,220,3
antioxidative,0.0112,0.105,0,0,95,178,2
antioxidative,0.0111,0.1476,0,0,96,452,5
antioxidative,0.0045,0.0545,0,0,97,448,2
antioxidative,0,0,0,0,98,180,0
antioxidative,0.0111,0.1521,0,0,99,452,5
antioxidative,0.0087,0.0909,0,0,100,115,1
antioxidative,0.007,0.071,0,0,101,284,2
antioxidative,0.0093,0.0628,0,0,102,108,1
antioxidative,0.0185,0.1958,0,0,103,487,9
antioxidative,0.0268,0.3001,0,0,104,112,3
antioxidative,0.028,0.4281,0,0,105,107,3
antioxidative,0.0305,0.1903,0,0,106,131,4
antioxidative,0.0136,0.2148,0,0,107,221,3
antioxidative,0.0126,0.1821,0,0,108,159,2
antioxidative,0.0138,0.1906,0,0,109,290,4
antioxidative,0.0071,0.1254,0,0,110,565,4
antioxidative,0,0,0,0,111,118,0
antioxidative,0.0138,0.1575,0,0,112,434,6
antioxidative,0.0035,0.0456,0,0,113,573,2
antioxidative,0,0,0,0,114,144,0
antioxidative,0,0,0,0,115,186,0
